time,I
0.003506,0.00
0.133837,0.00
0.197148,5.81
0.313091,8.51
0.493132,8.51
0.529135,8.03
0.674020,8.51
0.746451,8.51
0.855407,8.51
0.930330,8.03
1.038101,8.51
1.215571,8.51
1.264973,8.03
1.394121,8.03
1.463358,7.16
1.574294,8.51
1.755716,8.51
1.936121,8.51
1.997569,7.16
2.114334,8.98
2.298459,8.51
2.474368,8.51
2.476926,8.98
2.656569,8.51
2.730732,7.63
2.837082,8.51
3.015832,7.63
3.193680,8.03
3.263627,7.63
3.373917,8.03
3.555042,8.03
3.736057,8.03
3.914469,6.28
4.095823,4.46
4.275661,7.16
4.459689,8.03
4.635649,8.03
4.664163,8.51
4.814557,8.51
4.996170,8.51
5.175176,8.03
5.196947,8.51
5.355373,8.03
5.397543,8.03
5.534331,8.03
5.596920,8.51
5.715602,8.98
5.894788,8.51
5.929925,8.03
6.074246,7.63
6.129646,7.16
6.254837,8.03
6.330004,6.68
6.437157,7.16
6.616086,8.51
6.663020,8.03
6.795355,8.51
6.870034,8.51
6.974281,8.03
7.157012,8.03
7.334437,7.63
7.397746,8.51
7.515037,8.03
7.694965,8.51
7.875573,9.38
7.878910,8.98
8.053343,8.51
8.127771,8.03
8.235477,7.63
8.414190,8.51
8.594328,8.51
8.662906,8.03
8.774777,8.51
8.954100,8.51
9.133598,8.51
9.313141,8.51
9.493113,8.51
9.673808,8.51
9.853587,8.98
10.034996,8.51
10.061599,8.51
10.213520,8.98
10.393717,8.98
10.572905,7.63
10.595698,8.51
10.756738,9.38
10.794244,8.03
10.932910,8.51
10.996720,8.98
11.113155,7.63
11.293615,8.51
11.328371,8.03
11.473467,9.38
11.529306,8.51
11.659377,6.68
11.728654,8.51
11.837145,8.98
12.013908,8.51
12.062629,8.51
12.192966,8.03
12.262205,8.51
12.373479,8.03
12.553471,8.03
12.733072,7.63
12.796957,8.98
12.913101,8.03
13.094515,7.16
13.274576,8.51
13.277336,8.51
13.453983,8.03
13.529269,7.16
13.636648,8.51
13.814383,8.03
13.996975,8.51
14.063934,8.51
14.172839,8.03
14.356001,8.51
14.535716,8.51
14.720808,8.98
14.894528,8.51
15.075278,6.68
15.255092,7.63
15.436401,8.51
15.472609,7.63
15.615027,8.98
15.794011,7.63
15.973983,4.93
16.005739,4.46
16.154884,6.68
16.195388,8.03
16.334326,8.03
16.397015,8.51
16.513558,7.63
16.695214,8.98
16.729946,8.51
16.876167,8.98
16.930105,8.03
17.055600,7.63
17.132122,8.03
17.236094,8.03
17.414297,8.51
17.463594,8.51
17.595047,8.51
17.663660,8.98
17.775152,8.03
17.956460,8.98
18.136719,8.98
18.197697,7.16
18.315176,8.98
18.493702,8.51
18.681587,7.63
18.682472,8.51
18.853062,8.51
18.928601,8.51
19.037697,8.51
19.216617,8.51
19.399641,8.51
19.462624,8.51
19.573769,7.63
19.755187,8.98
19.933409,8.03
20.115828,7.16
20.296057,8.03
20.475715,8.03
20.656578,8.98
20.835851,7.16
20.863146,8.03
21.013985,8.98
21.202846,8.51
21.373322,8.03
21.396931,8.03
21.554910,7.63
21.597148,8.03
21.733586,7.16
21.796632,7.16
21.915800,8.03
22.095949,7.63
22.141974,8.51
22.273421,7.63
22.329127,8.03
22.452916,8.51
22.528713,8.51
22.637597,8.51
22.813868,7.16
22.861675,7.63
22.993361,8.51
23.063071,8.51
23.173578,7.63
23.354101,7.16
23.539350,8.51
23.595071,8.03
23.712345,7.16
23.894178,8.03
24.074311,7.63
