,Jugador 1,Jugador 2,Resultado
1,Papel,Piedra,Gana Jugador 1
2,Papel,Tijera,Gana Jugador 2
3,Tijera,Papel,Gana Jugador 1
4,Papel,Piedra,Gana Jugador 1
5,Tijera,Tijera,Empate
6,Papel,Tijera,Gana Jugador 2
7,Papel,Papel,Empate
8,Tijera,Papel,Gana Jugador 1
9,Tijera,Tijera,Empate
10,Papel,Tijera,Gana Jugador 2
11,Papel,Tijera,Gana Jugador 2
12,Tijera,Piedra,Gana Jugador 2
13,Tijera,Piedra,Gana Jugador 2
14,Papel,Papel,Empate
15,Tijera,Tijera,Empate
16,Piedra,Piedra,Empate
17,Piedra,Piedra,Empate
18,Papel,Piedra,Gana Jugador 1
19,Tijera,Piedra,Gana Jugador 2
20,Papel,Tijera,Gana Jugador 2
21,Papel,Tijera,Gana Jugador 2
22,Piedra,Tijera,Gana Jugador 1
23,Tijera,Papel,Gana Jugador 1
24,Piedra,Piedra,Empate
25,Papel,Papel,Empate
26,Tijera,Piedra,Gana Jugador 2
27,Tijera,Papel,Gana Jugador 1
28,Tijera,Tijera,Empate
29,Tijera,Tijera,Empate
30,Papel,Piedra,Gana Jugador 1
31,Piedra,Tijera,Gana Jugador 1
32,Tijera,Tijera,Empate
33,Piedra,Papel,Gana Jugador 2
34,Piedra,Papel,Gana Jugador 2
35,Piedra,Tijera,Gana Jugador 1
36,Papel,Papel,Empate
37,Papel,Piedra,Gana Jugador 1
38,Papel,Papel,Empate
39,Piedra,Tijera,Gana Jugador 1
40,Piedra,Tijera,Gana Jugador 1
41,Piedra,Papel,Gana Jugador 2
42,Tijera,Papel,Gana Jugador 1
43,Piedra,Piedra,Empate
44,Piedra,Piedra,Empate
45,Tijera,Piedra,Gana Jugador 2
46,Piedra,Piedra,Empate
47,Tijera,Piedra,Gana Jugador 2
48,Papel,Tijera,Gana Jugador 2
49,Papel,Tijera,Gana Jugador 2
50,Papel,Piedra,Gana Jugador 1
51,Tijera,Piedra,Gana Jugador 2
52,Papel,Papel,Empate
53,Tijera,Tijera,Empate
54,Piedra,Papel,Gana Jugador 2
55,Papel,Piedra,Gana Jugador 1
56,Tijera,Tijera,Empate
57,Tijera,Papel,Gana Jugador 1
58,Piedra,Tijera,Gana Jugador 1
59,Tijera,Piedra,Gana Jugador 2
60,Tijera,Piedra,Gana Jugador 2
61,Tijera,Tijera,Empate
62,Tijera,Papel,Gana Jugador 1
63,Papel,Papel,Empate
64,Tijera,Papel,Gana Jugador 1
65,Papel,Piedra,Gana Jugador 1
66,Piedra,Piedra,Empate
67,Tijera,Piedra,Gana Jugador 2
68,Tijera,Tijera,Empate
69,Papel,Tijera,Gana Jugador 2
70,Piedra,Piedra,Empate
71,Piedra,Piedra,Empate
72,Piedra,Tijera,Gana Jugador 1
73,Papel,Piedra,Gana Jugador 1
74,Papel,Piedra,Gana Jugador 1
75,Papel,Tijera,Gana Jugador 2
76,Papel,Tijera,Gana Jugador 2
77,Papel,Piedra,Gana Jugador 1
78,Piedra,Tijera,Gana Jugador 1
79,Tijera,Tijera,Empate
80,Papel,Papel,Empate
81,Piedra,Tijera,Gana Jugador 1
82,Tijera,Piedra,Gana Jugador 2
83,Papel,Piedra,Gana Jugador 1
84,Papel,Tijera,Gana Jugador 2
85,Piedra,Papel,Gana Jugador 2
86,Tijera,Tijera,Empate
87,Piedra,Papel,Gana Jugador 2
88,Papel,Tijera,Gana Jugador 2
89,Piedra,Tijera,Gana Jugador 1
90,Papel,Piedra,Gana Jugador 1
91,Piedra,Piedra,Empate
92,Piedra,Tijera,Gana Jugador 1
93,Papel,Piedra,Gana Jugador 1
94,Piedra,Papel,Gana Jugador 2
95,Papel,Piedra,Gana Jugador 1
96,Piedra,Papel,Gana Jugador 2
97,Tijera,Papel,Gana Jugador 1
98,Piedra,Tijera,Gana Jugador 1
99,Tijera,Tijera,Empate
100,Papel,Papel,Empate
101,Piedra,Papel,Gana Jugador 2
102,Tijera,Papel,Gana Jugador 1
103,Papel,Papel,Empate
104,Tijera,Piedra,Gana Jugador 2
105,Papel,Papel,Empate
106,Tijera,Tijera,Empate
107,Tijera,Papel,Gana Jugador 1
108,Tijera,Papel,Gana Jugador 1
109,Papel,Papel,Empate
110,Tijera,Piedra,Gana Jugador 2
111,Papel,Tijera,Gana Jugador 2
112,Papel,Papel,Empate
113,Piedra,Papel,Gana Jugador 2
